"de","en"
"Alpheios","Alpheios"
"Buleuteriongebiet","Bouleuterion"
"Echohalle","Echo Stoa"
"Gymnasion","Gymnasion"
"Heratempel","Temple of Hera"
"Kladeos","Kladeos"
"Leonidaion","Leonidaion"
"Metroon","Metroon"
"Nordkomplex","North Area"
"Osten der Altis","Altis (East)"
"Palästra","Palaestra"
"Pelopion","Pelopion"
"Phidiaswerkstatt","Pheidias' workshop"
"Philippeion","Philippeion"
"Prytaneion","Prytaneion"
"Schatzhausterrasse","Treasuries"
"Stadion","Stadium"
"Stadion-Eingang","Stadium (Entrance)"
"Stadion-Nord","Stadium (North)"
"Stadion-Nordwestecke","Stadium (North-East)"
"Stadion-Süd","Stadium (South)"
"Stadion-West","Stadium (West)"
"Südostgebiet","South-East Area"
"Südwestgebiet","South-West Area"
"Zeustempel","Temple of Zeus"
NA,NA
